Name_of_player,Country
Arshad Laeeq ,United Arab Emirates
Arshad Pervez ,Pakistan
Asif Mahmood ,Pakistan
Asim Butt ,Scotland
Athar Ali Khan ,Bangladesh
Ian Austin ,England
Azhar Hossain ,Bangladesh
Azhar Saeed ,United Arab Emirates
Hemang Badani ,India
Sairaj Bahutule ,India
Mark Bailey ,New Zealand
Paul-Jan Bakker ,Netherlands
Showkat Baksh ,Canada
Atul Bedade ,India
Dale Benkenstein ,South Africa
Amit Bhandari ,India
Bhupinder Singh ,India
Glenn Bishop ,Australia
John Blain ,Scotland
Bruce Blair ,New Zealand
Andy Blignaut ,Zimbabwe
Gopal Bose ,India
Hemantha Boteju ,Sri Lanka
Nathan Bracken ,Australia
James Brinkley ,Scotland
Alistair Brown ,England
Douglas Brown ,Scotland
Robin Brown ,Zimbabwe
Barrington Browne ,West Indies
Henderson Bryan ,West Indies
Rudi Bryson ,South Africa
Carl Bulfin ,New Zealand
David Callaghan ,South Africa
Robert Callender ,Canada
Peter Cantrell ,Netherlands
Vakkadai Chandrasekhar ,India
Christopher Chappell ,Canada
Utpal Chatterjee ,India
Dipak Chudasama ,Kenya
Nolan Clarke ,Netherlands
Peter Coman ,New Zealand
Derek Crookes ,South Africa
Kevin Curran ,Zimbabwe
Noel David ,India
Alec Davies ,Scotland
Sean Davies ,Zimbabwe
Alan Dawson ,South Africa
Timotheus de Leede ,Netherlands
Stanley de Silva ,Sri Lanka
Granville De Silva ,Sri Lanka
Franklym Dennis ,Canada
Pankaj Dharmani ,India
Michael Di Venuto ,Australia
Sameer Dighe ,India
Mark Douglas ,New Zealand
Vasbert Drakes ,West Indies
Christopher Drum ,New Zealand
Kevin Duers ,Zimbabwe
Shaukat Dukanwala ,United Arab Emirates
Nicholas Dyer ,Scotland
Enamul Haque ,Bangladesh
Ebrahim Essop-Adam ,Zimbabwe
Faruk Ahmed ,Bangladesh
Ranjit Fernando ,Sri Lanka
Thewarathantrige Fernando ,Sri Lanka
Nisal Fernando ,Sri Lanka
Matthew Fleming ,England
Duncan Fletcher ,Zimbabwe
Paul Franks ,England
Frasat Ali ,East Africa
Travis Friend ,Zimbabwe
Richard Gabriel ,West Indies
Janak Gamage ,Sri Lanka
Gazi Ashraf ,Bangladesh
Rajinder Ghai ,India
Golam Faruq ,Bangladesh
Gholam Nousher ,Bangladesh
Ghulam Ali ,Pakistan
Ranjan Goonatillake ,Sri Lanka
Eric Gouka ,Netherlands
Ian Gould ,England
Shaun Graf ,Australia
Paul Grayson ,England
Aruna Gunawardene ,Sri Lanka
Sandeep Gupta ,Kenya
Haafiz Shahid ,Pakistan
Brad Haddin ,Australia
Barry Hadlee ,New Zealand
Hafizur Rahman ,Bangladesh
Andrew Hall ,South Africa
Harilal Shah ,East Africa
Ronald Hart ,New Zealand
Harun-Ur-Rashid ,Bangladesh
Ian Harvey ,Australia
Hasan Jamil ,Pakistan
Roydon Hayes ,New Zealand
Robert Haynes ,West Indies
Cornelius Henry ,Canada
Jack Heron ,Zimbabwe
Peter Heyn ,Sri Lanka
Vincent Hogg ,Zimbabwe
Llorne Howell ,New Zealand
Geoffrey Humpage ,England
Imran Abbas ,Pakistan
Imtiaz Abbasi ,United Arab Emirates
Tariq Iqbal ,Kenya
Iqbal Sikander ,Pakistan
Irfan Bhatti ,Pakistan
Jahangir Alam ,Bangladesh
Jahangir Shah ,Bangladesh
Floris Jansen ,Netherlands
Javed Omar ,Bangladesh
Javed Qadeer ,Pakistan
Jawahir Shah ,East Africa
Sunil Jayasinghe ,Sri Lanka
Kerry Jeremy ,West Indies
Trevor Jesty ,England
Sylvester Joseph ,West Indies
James Kamande ,Kenya
Aasif Karim ,Kenya
Shaul Karnain ,Sri Lanka
Simon Katich ,Australia
Khaled Mahmud ,Bangladesh
Surinder Khanna ,India
Gagan Khoda ,India
Amay Khurasiya ,India
Louis Koen ,South Africa
Thirunavukkar Kumaran ,India
Shane Lee ,Australia
Roland Lefebvre ,Netherlands
Graham Lloyd ,England
James Love ,England
Steven Lubbers ,Netherlands
Monte Lynch ,England
Angus Mackay ,Zimbabwe
Kenneth MacLeay ,Australia
Mafizur Rahman ,Bangladesh
Mahbubur Rahman ,Bangladesh
James Maher ,Australia
Mahmood Hamid ,Pakistan
Manjural Islam ,Bangladesh
Mansoor Rana ,Pakistan
Manzoor Akhtar ,Pakistan
Maqsood Rana ,Pakistan
Cecil Marshall ,Canada
Gary Martin ,Zimbabwe
Jacob Martin ,India
Masood Iqbal ,Pakistan
Bryan Mauricette ,Canada
Mazhar Hussain ,United Arab Emirates
Rodney McCurdy ,Australia
Neil McGarrell ,West Indies
Brian McKechnie ,New Zealand
Hamish McLeod ,East Africa
Ervin McSweeney ,New Zealand
Mehmood Quaraishy ,East Africa
Vijay Mehra ,United Arab Emirates
Praful Mehta ,East Africa
Babu Meman ,Zimbabwe
Chaminda Mendis ,Sri Lanka
Jonathan Millmow ,New Zealand
Minhajul Abedin ,Bangladesh
Hitesh Modi ,Kenya
Mohammad Aslam ,United Arab Emirates
Mohammad Ishaq ,United Arab Emirates
Moin-Ul-Atiq ,Pakistan
Morshed Ali Khan ,Bangladesh
Phenyo Mpitsang ,South Africa
Mujahid Jamshed ,Pakistan
Saradindu Mukherjee ,India
Arachchige Munasinghe ,Sri Lanka
Mushfiqur Rahman ,Bangladesh
Ganesh Mylvaganam ,United Arab Emirates
Naeem Ahmed ,Pakistan
Naeem Ashraf ,Pakistan
John Nagenda ,East Africa
Parbhu Nana ,East Africa
Naseer Malik ,Pakistan
Nasir Ahmed ,Bangladesh
Naveed Nawaz ,Sri Lanka
Neeyamur Rashid ,Bangladesh
Christopher Nevin ,New Zealand
Nurul Abedin ,Bangladesh
Peter Ongondo ,Kenya
Thomas Odoyo ,Kenya
Edward Odumbe ,Kenya
Maurice Odumbe ,Kenya
Lamech Onyango ,Kenya
Antony Opatha ,Sri Lanka
Jacob Oram ,New Zealand
Kennedy Otieno ,Kenya
Steven Palframan ,South Africa
Gyanendra Pandey ,India
Jatin Paranjpe ,India
Sudath Pasqual ,Sri Lanka
Ashok Patel ,India
Jitendra Patel ,Canada
Grant Paterson ,Zimbabwe
Bruce Patterson ,Scotland
Gerald Peckover ,Zimbabwe
Andrew Penn ,New Zealand
Gamini Perera ,Sri Lanka
Pervez Mir ,Pakistan
Richard Petrie ,New Zealand
Iain Philip ,Scotland
Mevan Pieris ,Sri Lanka
Riaz Poonawala ,United Arab Emirates
Graeme Porter ,Australia
Nic Pothas ,South Africa
Donald Pringle ,East Africa
Milton Pydanna ,West Indies
Rafiqul Alam ,Bangladesh
Keerhi Ranasinghe ,Sri Lanka
Nishantha Ranatunga ,Sri Lanka
Randhir Singh ,India
Raqibul Hasan ,Bangladesh
Nilantha Ratnayake ,Sri Lanka
Sanjay Raul ,India
Peter Rawson ,Zimbabwe
Richard Reid ,New Zealand
Clive Rice ,South Africa
Michael Rindel ,South Africa
Stuart Roberts ,New Zealand
David Rundle ,South Africa
Saadat Ali ,Pakistan
Saeed Azad ,Pakistan
Saeed-Al-Saffar ,United Arab Emirates
Saiful Islam ,Bangladesh
Sajid Ali ,Pakistan
Sajjad Ahmed ,Bangladesh
Sajjad Akbar ,Pakistan
Saleem Pervez ,Pakistan
Saleem Raza ,United Arab Emirates
George Salmond ,Scotland
Johanne Samarasekera ,United Arab Emirates
Thilan Samaraweera ,Sri Lanka
Samiur Rahman ,Bangladesh
Sanwar Hossain ,Bangladesh
Marcelis Schewe ,Netherlands
Glenroy Sealy ,Canada
Keith Semple ,West Indies
Ramesh Sethi ,East Africa
Shabbir Ahmed ,Pakistan
Shafiuddin Ahmed ,Bangladesh
Ravindu Shah ,Kenya
Shaheedur Rahman ,Bangladesh
Shahid Anwar ,Pakistan
Shakeel Khan ,Pakistan
Shariful Haque ,Bangladesh
Timothy Shaw ,South Africa
Shehzad Altaf ,United Arab Emirates
Mohammad Sheikh ,Kenya
Salahuddin Ahmed ,Bangladesh
Virender Sehwag ,India
Shoaib Malik ,Pakistan
Laxmi Shukla ,India
James Siddons ,Australia
Chamara Silva ,Sri Lanka
Eric Simons ,South Africa
R. P. Singh ,India
Michael Smith ,England
Michael Smith ,Scotland
Neil Smith ,England
Reetinder Sodhi ,India
Sohail Butt ,United Arab Emirates
Sohail Fazal ,Pakistan
Vikram Solanki ,England
Sujith Somasunder ,India
Sridharan Sriram ,India
Ian Stanger ,Scotland
Martin Stead ,Canada
Errol Stewart ,South Africa
Leslie Stott ,New Zealand
Anthony Stuart ,Australia
Scott Styris ,New Zealand
Sudhakar Rao ,India
Anthony Suji ,Kenya
Martin Suji ,Kenya
Sultan Zarawani ,United Arab Emirates
Glen Sulzberger ,New Zealand
Shiraz Sumar ,East Africa
Graeme Swann ,England
Andrew Symonds ,Australia
Alex Tait ,New Zealand
Tanvir Mehdi ,Pakistan
Tariq Javed ,Canada
Roger Telemachus ,South Africa
Anura Tennekoon ,Sri Lanka
David Tikolo ,Kenya
Stephen Tikolo ,Kenya
Michael Tissera ,Sri Lanka
Glenn Trimble ,Australia
Carl Tuckett ,West Indies
Shaun Udal ,England
Aldesh Vadher ,Kenya
Prashant Vaidya ,India
John Valentine ,Canada
Klass-Jan van Noortwijk ,Netherlands
Robert Van Oosterom ,Netherlands
Cornelius Van Zyl ,South Africa
John Vaughan ,Canada
Mark Vermeulen ,Zimbabwe
Lou Vincent ,New Zealand
Dudley Vonhagt ,Sri Lanka
Wahidul Gani ,Bangladesh
Samuel Walusimbi ,East Africa
Wasim Haider ,Pakistan
Richard Webb ,New Zealand
Ajith Weerakkody ,Sri Lanka
Kaushalya Weeraratne ,Sri Lanka
Colin Wells ,England
Vincent Wells ,England
Sunil Wettimuny ,Sri Lanka
Hemantha Wickramaratne ,Sri Lanka
Henry Williams ,South Africa
Laurie Williams ,West Indies
Greig Williamson ,Scotland
Charl Willoughby ,South Africa
Jeffrey Wilson ,New Zealand
Warren Wisneski ,New Zealand
Mandy Yachad ,South Africa
Yasir Arafat ,Pakistan
Bradley Young ,Australia
Yunus Badat ,East Africa
Yuvraj Singh ,India
Zafar Iqbal ,Pakistan
Zahid Ahmed ,Pakistan
Zahid Razzak ,Bangladesh
Zakir Hasan ,Bangladesh
Andris Zesers ,Australia
Bas Zuiderent ,Netherlands
Zulfiqar Ali ,East Africa
Humayun Farhat ,Pakistan
Dinesh Mongia ,India
Mohammed Sharif ,Bangladesh
Dion Ebrahim ,Zimbabwe
Akalanka Ganegarma ,Sri Lanka
Andre Adams ,New Zealand
Mohammad Ashraful ,Bangladesh
Kashif Raza ,Pakistan
Kyle Mills ,New Zealand
Leon Garrick ,West Indies
Justin Ontong ,South Africa
Andre Nel ,South Africa
Ryan Sidebottom ,England
Paul Collingwood ,England
Owais Shah ,England
Tatenda Taibu ,Zimbabwe
Hamilton Masakadza ,Zimbabwe
David Obuya ,Kenya
Collins Obuya ,Kenya
Brijal Patel ,Kenya
Taufeeq Umar ,Pakistan
Michael Vandort ,Sri Lanka
Douglas Hondo ,Zimbabwe
Claude Henderson ,South Africa
James Foster ,England
Robert Kirtley ,England
Jeremy Snape ,England
Deep Dasgupta ,India
Sean Ervine ,Zimbabwe
Charl Langeveldt ,South Africa
Charitha Fernando ,Sri Lanka
Prabath Nissanka ,Sri Lanka
Naved Latif ,Pakistan
Mashrafe Mortaza ,Bangladesh
Shane Bond ,New Zealand
Fahim Muntasir ,Bangladesh
Tushar Imran ,Bangladesh
Sanjay Bangar ,India
Tinu Yohannan ,India
Jermaine Lawson ,West Indies
Ryan Hinds ,West Indies
Darryl Brown ,West Indies
Brad Williams ,Australia
Ryan Campbell ,Australia
Brendon McCullum ,New Zealand
Ajay Ratra ,India
Tareq Aziz ,Bangladesh
Ian Butler ,New Zealand
Runako Morton ,West Indies
Ashwell Prince ,South Africa
Graeme Smith ,South Africa
Nathan Hauritz ,Australia
Shane Watson ,Australia
John Kent ,South Africa
Robert Hart ,New Zealand
Paul Hitchcock ,New Zealand
Daren Powell ,West Indies
Talha Jubair ,Bangladesh
Ehsanul Haque ,Bangladesh
Hannan Sarkar ,Bangladesh
Simon Jones ,England
Chamila Lakshitha ,Sri Lanka
Jehan Mubarak ,Sri Lanka
Alok Kapali ,Bangladesh
Tapash Baisya ,Bangladesh
Hasantha Fernando ,Sri Lanka
Pulasthi Gunaratne ,Sri Lanka
Parthiv Patel ,India
Robert Key ,England
Stephen Harmison ,England
Jacob-Jan Esmeijer ,Netherlands
Victor Grandia ,Netherlands
Adeel Raja ,Netherlands
Edgar Schiferli ,Netherlands
Reiout Scholte ,Netherlands
Daan van Bunge ,Netherlands
Lucas van Troost ,Netherlands
Ian Blackwell ,England
Mazharul Haque ,Bangladesh
Jan Kloppenburg ,Netherlands
Hendrik Mol ,Netherlands
Robin Peterson ,South Africa
Martin van Jaarsveld ,South Africa
Rafiqul Islam ,Bangladesh
Anwar Hossain Monir ,Bangladesh
Jai Yadav ,India
Blessing Mahwire ,Zimbabwe
Kamran Akmal ,Pakistan
Lakshmipathy Balaji ,India
Barney Rogers ,Zimbabwe
Stuart Matsikenyeri ,Zimbabwe
Richard Sims ,Zimbabwe
Waddington Mwayenga ,Zimbabwe
Anwar Hossain ,Bangladesh
Monde Zondeki ,South Africa
Gareth Batty ,England
James Anderson ,England
Michael Clarke ,Australia
Riaan Walters ,Namibia
Stephan Swanepoel ,Namibia
Andries Burger ,Namibia
Daniel Keulder ,Namibia
Bryan Murgatroyd ,Namibia
Morne Karg ,Namibia
Deon Kotze ,Namibia
Louis Burger ,Namibia
Gerrie Synman ,Namibia
Jan Louw ,Namibia
Bjorn Kotze ,Namibia
Ashish Bagai ,Canada
Ian Billcliff ,Canada
Desmond Chumney ,Canada
Austin Codrington ,Canada
John Davison ,Canada
Nicholas De Groot ,Canada
Joseph Harris ,Canada
Davis Joseph ,Canada
Ishwar Maraj ,Canada
Fazil Sattaur ,Canada
Sanjayan Thuraisingam ,Canada
Jeroen Smits ,Netherlands
Nick Statham ,Netherlands
Rudolph van Vuuren ,Namibia
Melt van Schoor ,Namibia
Sarel Burger ,Namibia
Barry Seebaran ,Canada
Nicholas Ifill ,Canada
Burton van Rooi ,Namibia
Ashish Patel ,Canada
Abdool Samad ,Canada
Umar Gul ,Pakistan
Mohammad Hafeez ,Pakistan
Naved-ul-Hasan ,Pakistan
Alfred Luseno ,Kenya
Kaushal Lokuarachchi ,Sri Lanka
Devon Smith ,West Indies
Aavishkar Salvi ,India
Gautam Gambhir ,India
Amit Mishra ,India
Jacques Rudolph ,South Africa
Abhijit Kale ,India
Mohammad Salim ,Bangladesh
David Bernard ,West Indies
Carlton Baugh ,West Indies
Tino Best ,West Indies
Omari Banks ,West Indies
Dharshana Gamage ,Sri Lanka
Yasir Hameed ,Pakistan
Anthony McGrath ,England
Faisal Athar ,Pakistan
Ryan Hurley ,West Indies
Richard Johnson ,England
Jerome Taylor ,West Indies
Rikki Clarke ,England
Jamie Troughton ,England
Fidel Edwards ,West Indies
Thilan Thushara ,Sri Lanka
Kabir Ali ,England
Charles Coventry ,Zimbabwe
Morne van Wyk ,South Africa
Rajin Saleh ,Bangladesh
Salman Butt ,Pakistan
Junaid Zia ,Pakistan
Gavin Ewing ,Zimbabwe
Enamul Haque ,Bangladesh
Vusi Sibanda ,Zimbabwe
Jamaluddin Ahmed ,Bangladesh
Manjural Islam Rana ,Bangladesh
Nafis Iqbal ,Bangladesh
Moniruzzaman ,Bangladesh
Dinusha ,Sri Lanka
Nuwan Kulasekara ,Sri Lanka
Andrew Strauss ,England
Ravi Rampaul ,West Indies
Michael Mason ,New Zealand
Matthew Walker ,New Zealand
Richard Jones ,New Zealand
Craig Cumming ,New Zealand
Alester Maregwede ,Zimbabwe
Tama Canning ,New Zealand
Irfan Pathan ,India
Dwayne Smith ,West Indies
Dave Mohammed ,West Indies
Rohan Gavaskar ,India
Michael Hussey ,Australia
Michael Papps ,New Zealand
Albie Morkel ,South Africa
W Jayantha ,Sri Lanka
Ramesh Powar ,India
Geraint Jones ,England
Dwayne Bravo ,West Indies
Elton Chigumbura ,Zimbabwe
Tinashe Panyangara ,Zimbabwe
Brendan Taylor ,Zimbabwe
Prosper Utseya ,Zimbabwe
Farveez Maharoof ,Sri Lanka
Thilina Kandamby ,Sri Lanka
Tawanda Mupariwa ,Zimbabwe
Ian Bradshaw ,West Indies
Faisal Hossain ,Bangladesh
Edward Rainsford ,Zimbabwe
Gareth Hopkins ,New Zealand
Lasith Malinga ,Sri Lanka
Sajid Mahmood ,England
Abdur Razzak ,Bangladesh
Timothy Smart ,Hong Kong
Manoj Cheruparambil ,Hong Kong
Alexander French ,Hong Kong
Tabarak Dar ,Hong Kong
John Lamsam ,Hong Kong
Rahul Sharma ,Hong Kong
Ilyas Gul ,Hong Kong
Najeeb Amar ,Hong Kong
S Lama ,Hong Kong
Afzaal Haider ,Hong Kong
Khalid Khan ,Hong Kong
Asim Saeed ,United Arab Emirates
Arshad Ali ,United Arab Emirates
Fahad Usman ,United Arab Emirates
Naeemuddin Aslam ,United Arab Emirates
Khurram Khan ,United Arab Emirates
Syed Maqsood ,United Arab Emirates
Asghar Ali ,United Arab Emirates
Mohammad Tauqir ,United Arab Emirates
Abdul Rehman ,United Arab Emirates
Ali Asad ,United Arab Emirates
Rizwan Latif ,United Arab Emirates
Sameer Zia ,United Arab Emirates
Ramveer Rai ,United Arab Emirates
Nasir Hameed ,Hong Kong
Nadeem Ahmed ,Hong Kong
Ian Bell ,England
Jean-Paul Duminy ,South Africa
Alexander Wharf ,England
Dinesh Karthik ,India
Rohan Alexander ,United States
Mark Johnson ,United States
Leon Romero ,United States
Steve Massiah ,United States
Richard Staple ,United States
Jignesh Desai ,United States
Aijaz Ali ,United States
Rashid Zia ,United States
Charles Reid ,United States
Howard Johnson ,United States
Maurice Ouma ,Kenya
Rageg Aga ,Kenya
Aftab Ahmed ,Bangladesh
Nazmul Hossain ,Bangladesh
Donovan Blake ,United States
Nasir Javed ,United States
Darren Sammy ,West Indies
Malhar Patel ,Kenya
Bazid Khan ,Pakistan
Iftikhar Anjum ,Pakistan
Peter Fulton ,New Zealand
Hashim Amla ,South Africa
Chris Mpofu ,Zimbabwe
Kevin Pietersen ,England
Matthew Prior ,England
Mohammad Khalil ,Pakistan
A B de Villiers ,South Africa
Dale Steyn ,South Africa
M S Dhoni ,India
Joginder Sharma ,India
Mohammad Asif ,Pakistan
Graeme Cremer ,Zimbabwe
Xavier Marshall ,United States
Sean Williams ,Zimbabwe
James Marshall ,New Zealand
Lance Hamilton ,New Zealand
James Hopes ,Australia
Iain O'Brien ,New Zealand
Narsingh Deonarine ,West Indies
Mushfiqur Rahim ,Bangladesh
Shahadat Hossain ,Bangladesh
Johnathan Lewis ,England
Christopher Tremlett ,England
Shahriar Nafees ,Bangladesh
Denesh Ramdin ,West Indies
Ryan Ramdass ,West Indies
Suresh Raina ,India
Yalaka Venugopal Rao ,India
Loku Dilhara ,Sri Lanka
Deighton Butler ,West Indies
Upul Tharanga ,Sri Lanka
Pradeep Jayaprakashdaran ,Sri Lanka
Keith Dabengwa ,Zimbabwe
Anthony Ireland ,Zimbabwe
Shaun Tait ,Australia
Justice Chibhabha ,Zimbabwe
Jeetan Patel ,New Zealand
Syed Rasel ,Bangladesh
Terry Duffin ,Zimbabwe
Cameron White ,Australia
Stuart Clark ,Australia
Sreesanth ,India
Andrew Puttick ,South Africa
Johan Botha ,South Africa
Bradley Hodge ,Australia
Liam Plunkett ,England
R P Singh ,India
Michael Lewis ,Australia
Mitchell Johnson ,Australia
Philip Jaques ,Australia
Jamie How ,New Zealand
Garnett Kruger ,South Africa
Brett Dorey ,Australia
Johannes van der Wath ,South Africa
Chamara Kapugedera ,Sri Lanka
Dhammika Prasad ,Sri Lanka
Keegan Meth ,Zimbabwe
Piet Rinke ,Zimbabwe
Gregory Strydom ,Zimbabwe
Tanmay Mishra ,Kenya
Nehemiah Odhiambo ,Kenya
Ryan Higgins ,Zimbabwe
Ross Taylor ,New Zealand
Alastair Cook ,England
Monty Panesar ,England
Piyush Chawla ,India
Munaf Patel ,India
Kalpesh Patel ,Kenya
Vikram Singh ,India
Robin Uthappa ,India
Daniel Cullen ,Australia
Mark Cosgrove ,Australia
Sewnarine Chattergoon ,West Indies
Geoffrey Barnett ,Canada
Umar Bhatti ,Canada
Sunil Dhaniram ,Canada
Haninder Dhillon ,Canada
Stewart Heaney ,Canada
Henry Osinde ,Canada
Kevin Sandher ,Canada
Lionel Cann ,Bermuda
Hasan Durham ,Bermuda
Dwayne Leverock ,Bermuda
Dean Minors ,Bermuda
Daniel Morgan ,Bermuda
Saleem Mukuddem ,Bermuda
George O'Brien ,Bermuda
Azeem Pitcher ,Bermuda
Irvine Romaine ,Bermuda
Janeiro Tucker ,Bermuda
Kwame Tucker ,Bermuda
George Codrington ,Canada
Donovan Maxwell ,Canada
Treadwell Gibbons ,Bermuda
Kevin Hurdle ,Bermuda
Ryan Steede ,Bermuda
Andre Botha ,Ireland
Jeremy Bray ,Ireland
Peter Gillespie ,Ireland
Trent Johnston ,Ireland
Dominick Joyce ,Ireland
Dave Langford-Smith ,Ireland
William McCallan ,Ireland
John Mooney ,Ireland
Paul Mooney ,Ireland
Kevin O'Brien ,Ireland
Andrew White ,Ireland
Ed Joyce ,England
Glen Chapple ,England
James Dalrymple ,England
Timothy Bresnan ,England
Alexander Loudon ,England
Neil MacRae ,Scotland
Ryan Watson ,Scotland
Colin Smith ,Scotland
Neil McCallum ,Scotland
Dewal Nel ,Scotland
Paul Hoffmann ,Scotland
Ross Lyons ,Scotland
Douglas Lockhart ,Scotland
Darren Reekers ,Netherlands
Ryan ten Doeschate ,Netherlands
Alexei Kervezee ,Netherlands
Peter Borren ,Netherlands
William Stelling ,Netherlands
Mohammad Kashif ,Netherlands
Peter Seelaar ,Netherlands
Eric Szwarczynski ,Netherlands
Farhad Reza ,Bangladesh
Tafadzwa Mufambisi ,Zimbabwe
Eoin Morgan ,England
Niall O'Brien ,Ireland
William Porterfield ,Ireland
Navdeep Poonia ,Scotland
Omer Hussain ,Scotland
Craig Wright ,Scotland
Hiren Varaiya ,Kenya
Qaiser Ali ,Canada
Tom de Grooth ,Netherlands
Fraser Watts ,Scotland
Shakib Al Hasan ,Bangladesh
Steven Outerbridge ,Bermuda
Delyone Borden ,Bermuda
Clay Smith ,Bermuda
Sandeep Jyoti ,Canada
Surendra Seeraj ,Canada
Durand Soraine ,Canada
Steven Welsh ,Canada
Stuart Broad ,England
Michael Yardy ,England
Loots Bosman ,South Africa
Alviro Petersen ,South Africa
Tafadzwa Kamungozi ,Zimbabwe
Mehrab Hossain ,Bangladesh
Malachi Jones ,Bermuda
David Hemp ,Bermuda
Stefan Kelly ,Bermuda
Ashif Mulla ,Canada
Mark Jonkman ,Netherlands
Maurits van Nierop ,Netherlands
Abdur Rehman ,Pakistan
Lendl Simmons ,West Indies
Tinotenda Mawoyo ,Zimbabwe
Glenn Rogers ,Scotland
Rana Haq ,Scotland
Morne Morkel ,South Africa
Mark Gillespie ,New Zealand
Paul Harris ,South Africa
Paul Nixon ,England
Ben Hilfenhaus ,Australia
Malachy Loye ,England
Rayad Emrit ,West Indies
Kenneth Carroll ,Ireland
Boyd Rankin ,Ireland
Ravinda Bopara ,England
Tamim Iqbal ,Bangladesh
Friday Kasteni ,Zimbabwe
Adam Voges ,Australia
Oliver Pitcher ,Bermuda
Kieron Pollard ,West Indies
Ishara Amerasinghe ,Sri Lanka
Malinda Warnapura ,Sri Lanka
Fawad Alam ,Pakistan
Najaf Shah ,Pakistan
Ishant Sharma ,India
Marthinus Fourie ,Ireland
Roger Whelan ,Ireland
Gary Wilson ,Ireland
Rohit Sharma ,India
Alex Cusack ,Ireland
Vernon Philander ,South Africa
Thandi Tshabalala ,South Africa
Dimitri Mascarenhas ,England
Trevin Bastiampillai ,Canada
Mohsin Mulla ,Canada
Shahzad Khan ,Canada
Mudassar Bukhari ,Netherlands
Atse Buurman ,Netherlands
Gary Kidd ,Ireland
Geert-Maarten Mol ,Netherlands
Gordon Drummond ,Scotland
Austin Richards ,West Indies
Mahmudullah ,Bangladesh
Dwight Basden ,Bermuda
James Celestine ,Bermuda
Jekon Edness ,Bermuda
Jacobi Robinson ,Bermuda
Mangesh Panchel ,Netherlands
Christopher Lonsdale ,Bermuda
Maurits Jonkman ,Netherlands
Arthur Pitcher ,Bermuda
Gulam Bodi ,South Africa
Timycen Maruma ,Zimbabwe
Luke Wright ,England
Philip Mustard ,England
Dilruwan Perera ,Sri Lanka
Sohail Tanvir ,Pakistan
Abdul Jabbar ,Canada
Mohammad Iqbal ,Canada
Arvindah Kandappah ,Canada
Aftabodeen Shamsuden ,Canada
Jason Patraj ,Canada
Calvert Hooper ,Canada
Alex Obanda ,Kenya
Elijah Otieno ,Kenya
Rodney Trott ,Bermuda
Kyle Hodsoll ,Bermuda
Sarfraz Ahmed ,Pakistan
Praveen Kumar ,India
Brenton Parchment ,West Indies
Chanaka Welegedara ,Sri Lanka
Junaid Siddique ,Bangladesh
Samiullah Khan ,Pakistan
Nasir Jamshed ,Pakistan
Kamran Hussain ,Pakistan
Patrick Browne ,West Indies
Khalid Latif ,Pakistan
Sohail Khan ,Pakistan
Abdur Rauf ,Pakistan
Khurram Manzoor ,Pakistan
Rizwan Ahmed ,Pakistan
Wahab Riaz ,Pakistan
Manoj Tiwary ,India
Ashley Noffke ,Australia
Jesse Ryder ,New Zealand
Daniel Flynn ,New Zealand
Timothy Ambrose ,England
Dhiman Ghosh ,Bangladesh
Mosharraf Hossain ,Bangladesh
Raqibul Hasan ,Bangladesh
Nazimuddin ,Bangladesh
Reinhardt Strydom ,Ireland
Greg Thompson ,Ireland
Grant Elliott ,New Zealand
Tim Southee ,New Zealand
Sulieman Benn ,West Indies
Mahela Udawatte ,Sri Lanka
Ajantha Mendis ,Sri Lanka
Naumanullah ,Pakistan
Aaron Redmond ,New Zealand
Dolar Mahmud ,Bangladesh
Yusuf Pathan ,India
Fahad Alhashmi ,United Arab Emirates
